an,ad
ae,ae
af,af
ac,ag
av,ai
al,al
am,am
ao,ao
ar,ar
aq,as
au,at
as,au
aa,aw
aj,az
bk,ba
bb,bb
bg,bd
be,be
uv,bf
bu,bg
ba,bh
by,bi
bn,bj
bd,bm
bx,bn
bl,bo
br,br
bf,bs
bt,bt
bv,bv
bc,bw
bo,by
bh,bz
ca,ca
ck,cc
cg,cd
ct,cf
cf,cg
sz,ch
iv,ci
cw,ck
ci,cl
cm,cm
ch,cn
co,co
cs,cr
cu,cu
cv,cv
kt,cx
cy,cy
ez,cz
gm,de
dj,dj
da,dk
do,dm
dr,do
ag,dz
ec,ec
en,ee
eg,eg
wi,eh
er,er
sp,es
et,et
fi,fi
fj,fj
fk,fk
fm,fm
fo,fo
fr,fr
gb,ga
uk,gb
gj,gd
gg,ge
fg,gf
gh,gh
gi,gi
gl,gl
ga,gm
gv,gn
gp,gp
ek,gq
gr,gr
sx,gs
gt,gt
gq,gu
pu,gw
gy,gy
hk,hk
hm,hm
ho,hn
hr,hr
ha,ht
hu,hu
id,id
ei,ie
is,il
in,in
io,io
iz,iq
ir,ir
ic,is
it,it
jm,jm
jo,jo
ja,jp
ke,ke
kg,kg
cb,kh
kr,ki
cn,km
sc,kn
kn,kp
ks,kr
ku,kw
cj,ky
kz,kz
la,la
le,lb
st,lc
ls,li
ce,lk
li,lr
lt,ls
lh,lt
lu,lu
lg,lv
ly,ly
mo,ma
mn,mc
md,md
mj,me
ma,mg
rm,mh
mk,mk
ml,ml
bm,mm
mg,mn
mc,mo
cq,mp
mb,mq
mr,mr
mh,ms
mt,mt
mp,mu
mv,mv
mi,mw
mx,mx
my,my
mz,mz
wa,na
nc,nc
ng,ne
nf,nf
ni,ng
nu,ni
nl,nl
no,no
np,np
nr,nr
ne,nu
nz,nz
mu,om
pm,pa
pe,pe
fp,pf
pp,pg
rp,ph
pk,pk
pl,pl
sb,pm
pc,pn
rq,pr
po,pt
ps,pw
pa,py
qa,qa
re,re
ro,ro
ri,rs
rs,ru
rw,rw
sa,sa
bp,sb
se,sc
su,sd
sw,se
sn,sg
sh,sh
si,si
sv,sj
lo,sk
sl,sl
sm,sm
sg,sn
so,so
ns,sr
tp,st
es,sv
sy,sy
wz,sz
tk,tc
cd,td
fs,tf
to,tg
th,th
ti,tj
tl,tk
tt,tl
tx,tm
ts,tn
tn,to
tu,tr
td,tt
tv,tv
tw,tw
tz,tz
up,ua
ug,ug
us,us
uy,uy
uz,uz
vt,va
vc,vc
ve,ve
vi,vg
vq,vi
vm,vn
nh,vu
wf,wf
ws,ws
ym,ye
mf,yt
sf,za
za,zm
zi,zw
